Symbol,Company,TradingView_Sector,TradingView_Industry,Sector_SPDR,ETF_Symbol,Sector_Number
GWRS,Global Water Resources Inc.,Utilities,Water Utilities,Utilities,XLU,11
PURE,Pure Cycle Corporation,Utilities,Water Utilities,Utilities,XLU,11
PICO,PICO Holdings Inc.,Utilities,Water Utilities,Utilities,XLU,11
CDZI,Cadiz Inc.,Utilities,Water Utilities,Utilities,XLU,11
MSBI,Midland States Bancorp Inc.,Finance,Regional Banks,Financial,XLF,5
NEWT,NewtekOne Inc.,Finance,Investment Managers,Financial,XLF,5
GSBD,Goldman Sachs BDC Inc.,Finance,Investment Managers,Financial,XLF,5
BXSL,Blackstone Secured Lending Fund,Finance,Investment Managers,Financial,XLF,5
OCCI,OFS Credit Company Inc.,Finance,Investment Managers,Financial,XLF,5
GAIN,Gladstone Investment Corporation,Finance,Investment Managers,Financial,XLF,5
GBDC,Golub Capital BDC Inc.,Finance,Investment Managers,Financial,XLF,5
TSLX,Sixth Street Specialty Lending Inc.,Finance,Investment Managers,Financial,XLF,5
PSEC,Prospect Capital Corporation,Finance,Investment Managers,Financial,XLF,5
ARCC,Ares Capital Corporation,Finance,Investment Managers,Financial,XLF,5
MAIN,Main Street Capital Corporation,Finance,Investment Managers,Financial,XLF,5
HTGC,Hercules Capital Inc.,Finance,Investment Managers,Financial,XLF,5
FSK,FS KKR Capital Corp.,Finance,Investment Managers,Financial,XLF,5
CGBD,Carlyle Secured Lending Inc.,Finance,Investment Managers,Financial,XLF,5
BBDC,Barings BDC Inc.,Finance,Investment Managers,Financial,XLF,5
BIZD,VanEck BDC Income ETF,Finance,Investment Managers,Financial,XLF,5
KNTK,Kinetik Holdings Inc.,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
WES,Western Midstream Partners LP,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
MPLX,MPLX LP,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
ET,Energy Transfer LP,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
EPD,Enterprise Products Partners L.P.,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
PAA,Plains All American Pipeline L.P.,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
HESM,Hess Midstream LP,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
DCP,DCP Midstream LP,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
CEQP,Crestwood Equity Partners LP,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
USAC,USA Compression Partners LP,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
AM,Antero Midstream Corporation,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
ENLC,EnLink Midstream LLC,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
GEL,Genesis Energy L.P.,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
PBFX,PBF Logistics LP,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
SMLP,Summit Midstream Partners LP,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
CAPL,CrossAmerica Partners LP,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
DMLP,Dorchester Minerals L.P.,Energy Minerals,Oil & Gas Production,Energy,XLE,1
PBT,Permian Basin Royalty Trust,Energy Minerals,Oil & Gas Production,Energy,XLE,1
SJT,San Juan Basin Royalty Trust,Energy Minerals,Oil & Gas Production,Energy,XLE,1
VOC,VOC Energy Trust,Energy Minerals,Oil & Gas Production,Energy,XLE,1
PWR,Quanta Services Inc.,Industrial Services,Engineering & Construction,Industrials,XLI,7
PRIM,Primoris Services Corporation,Industrial Services,Engineering & Construction,Industrials,XLI,7
